album_uri,album_name,album_img,album_release_date,album_release_year,album_popularity,track_name,track_uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,key_mode,track_popularity,artist
2ODvWsOgouMbaA5xf0RkJe,Starboy,https://i.scdn.co/image/7bc60842d505753942b0cedf0e95f53074867806,2016-11-25,2016-11-25,78,Love To Lay,27BgDmciSjoxTG0almHTpZ,0.71,0.805,G,-5.045,minor,0.0546,0.0475,0,0.16,0.72,116.985,223293,4,G minor,63,The Weeknd
2ODvWsOgouMbaA5xf0RkJe,Starboy,https://i.scdn.co/image/7bc60842d505753942b0cedf0e95f53074867806,2016-11-25,2016-11-25,78,A Lonely Night,0ifooM33X1iBxVYyOkSbXW,0.853,0.65,G,-7.03,minor,0.0837,0.0466,7.27e-6,0.089,0.85,113.993,220173,4,G minor,65,The Weeknd
2ODvWsOgouMbaA5xf0RkJe,Starboy,https://i.scdn.co/image/7bc60842d505753942b0cedf0e95f53074867806,2016-11-25,2016-11-25,78,Attention,6pDVjCUA3B1vg9waKutAsv,0.664,0.439,E,-7.296,minor,0.136,0.67,2.7e-4,0.119,0.376,148.073,197653,4,E minor,66,The Weeknd
2ODvWsOgouMbaA5xf0RkJe,Starboy,https://i.scdn.co/image/7bc60842d505753942b0cedf0e95f53074867806,2016-11-25,2016-11-25,78,Ordinary Life,15k2nBQJ0teDmPZHrOXL2N,0.549,0.595,G,-7.583,minor,0.0989,0.0322,0,0.103,0.387,149.859,221920,4,G minor,65,The Weeknd
2ODvWsOgouMbaA5xf0RkJe,Starboy,https://i.scdn.co/image/7bc60842d505753942b0cedf0e95f53074867806,2016-11-25,2016-11-25,78,Nothing Without You,57qiTKh8bVX0VtfUNTQqhw,0.652,0.637,C#,-8.094,major,0.0593,0.0677,0,0.0996,0.173,110.08,198653,4,C# major,65,The Weeknd
2ODvWsOgouMbaA5xf0RkJe,Starboy,https://i.scdn.co/image/7bc60842d505753942b0cedf0e95f53074867806,2016-11-25,2016-11-25,78,All I Know,0NWqNXBJTpXbkI5rPWNy3p,0.64,0.423,G#,-10.567,minor,0.0657,0.446,1.51e-4,0.095,0.18,120.029,321027,4,G# minor,65,The Weeknd
2ODvWsOgouMbaA5xf0RkJe,Starboy,https://i.scdn.co/image/7bc60842d505753942b0cedf0e95f53074867806,2016-11-25,2016-11-25,78,Die For You,2Ch7LmS7r2Gy2kc64wv3Bz,0.585,0.513,C#,-7.126,minor,0.07,0.1,0,0.147,0.533,133.387,260253,4,C# minor,75,The Weeknd
2ODvWsOgouMbaA5xf0RkJe,Starboy,https://i.scdn.co/image/7bc60842d505753942b0cedf0e95f53074867806,2016-11-25,2016-11-25,78,I Feel It Coming,3dhjNA0jGA8vHBQ1VdD6vV,0.767,0.819,C,-5.945,minor,0.127,0.44,0,0.0863,0.583,92.99,269187,4,C minor,75,The Weeknd
2rmMeEq5D1Bg7YFRwtHBDr,xx,https://i.scdn.co/image/765dd18a89c2dbbb8d548dfb6387001eb362d25c,2009-08-18,2009-08-18,58,Intro,0DAsxISzun85PbsqAfIzeC,0.617,0.778,A,-8.871,minor,0.027,0.459,0.925,0.128,0.152,100.363,127920,4,A minor,66,The XX
2rmMeEq5D1Bg7YFRwtHBDr,xx,https://i.scdn.co/image/765dd18a89c2dbbb8d548dfb6387001eb362d25c,2009-08-18,2009-08-18,58,VCR,4vU90MimdQpV2e1wPi1ljJ,0.755,0.482,C,-12.729,major,0.03,0.891,0.818,0.1,0.481,109.354,177093,4,C major,52,The XX
